id,long,lat
A7,76.74526805051565,30.77807795885087
A4,76.80678446847463,30.748305628919727
A3,76.71236241326717,30.681912735829528
A2,76.71092094201799,30.69618153811608
A6,76.70778115537755,30.636993109627923
A5,76.75229659338795,30.63273338896935
A1,76.79871007795553,30.699177564655685
B13,76.72006727863865,30.65710971820597
B6,76.7309286094274,30.64748085875162
B17,76.79305889368315,30.67045953399379
B16,76.73437624393313,30.774358067182767
B4,76.7755335132103,30.780380451949256
B5,76.71947849086516,30.638058692220863
B12,76.68600907445078,30.74925003997319
B7,76.73243626450304,30.688647201099336
B15,76.75239230274204,30.632838838025673
B3,76.79902983022015,30.699159669577405
B14,76.68487127855025,30.70236646326804
B8,76.81283492102128,30.649418022035956
B9,76.7131314208051,30.696006460560877
B2,76.70241322468786,30.761831203065373
B10,76.71251651465407,30.68185550461998
B11,76.71133881987491,30.682468752377765
B1,76.70095787998989,30.76179060014383
B18,76.79267534170494,30.664609194020247
C8,76.7134109531021,30.67776200884003
C4,76.78053512589928,30.784329178504294
C7,76.81558643019979,30.650413233977233
C2,76.69752426371063,30.76115536962663
C6,76.7300305178924,30.64772067849984
C10,76.68771234904783,30.747545604381532
C5,76.72971841532573,30.647643540783704
C3,76.79969804541626,30.703295121731525
C9,76.6839578070735,30.74764857623909
C12,76.80582862444518,30.74837698084759
C11,76.71532671046397,30.657273038608214
C17,76.79641590684663,30.66662239533102
C18,76.74663029708609,30.780522356490092
C16,76.70902561121633,30.635924964453984
C13,76.68589475753292,30.70281654256351
C15,76.70599354191941,30.63475639963961
C14,76.75377602742681,30.632186937700684
C1,76.70058181322533,30.761674574266326
D4,76.71965575522982,30.638277803372887
D8,76.7432441112382,30.778779165111548
D6,76.73701146750756,30.77239892979442
D5,76.68870168168391,30.701702813203053
D1,76.77941174727759,30.781803660579097
D3,76.77839528464959,30.782014205303
D2,76.77862725391526,30.78153937855768
D7,76.79551326815026,30.66676992986782
E9,76.73173257455164,30.77616703672592
E11,76.74440247722553,30.778847370870487
E10,76.79532565261046,30.669064686746704
E5,76.68049880779033,30.74816555017564
E8,76.73474321713313,30.77437859134409
E1,76.72250910537952,30.637977344289684
E2,76.73323680659117,30.64960592464745
E3,76.73639515859892,30.688005505781444
E6,76.68788635364773,30.703739771068275
E4,76.7120557493072,30.68170107163451
E7,76.70534015152414,30.639571829812777
